RBD;DV_RBD;NOM_RBD;COD_DEPE2;COD_REG_RBD;COD_COM_RBD;NOM_COM_RBD;RURAL_RBD;EFECTIVR;SUPERAR;INICIAR;MEJORAR;INTEGRAR;IGUALDR;CLUSTER;INDICER;SEL2020_25;SEL2020_35;SEL
1;9;LICEO POLITECNICO ARICA;5;15;15101;ARICA;0;23.437452;47.086687;0.0;100.0;0.0;85.135741;1532;42.585993;2;2;3
2;7;PARVULARIO LAS ESPIGUITAS;5;15;15101;ARICA;0;39.315564;55.224014;90.918182;100.0;71.6;96.660815;1512;62.309953;2;2;3
3;5;ESC. PEDRO VICENTE GUTIERREZ TORRES;5;15;15101;ARICA;1;29.871585;57.854875;83.033333;100.0;68.133333;83.392098;1541;55.98678;2;2;3
4;3;LICEO OCTAVIO PALMA PEREZ;5;15;15101;ARICA;0;46.872478;54.284818;85.94;100.0;92.0;94.777983;1532;65.150122;2;2;3
5;1;JOVINA NARANJO FERNANDEZ;5;15;15101;ARICA;0;48.690327;53.757389;96.4;100.0;78.166667;94.336781;1532;65.513915;2;2;3
7;8;L. POLI. ANTONIO VARAS DE LA BARRA;5;15;15101;ARICA;0;29.168294;55.690579;0.0;100.0;0.0;92.306536;1532;48.693069;2;2;3
8;6;COLEGIO INTEGRADO EDUARDO FREI MONTALVA;5;15;15101;ARICA;0;38.69549;55.736442;94.69;100.0;85.75;91.764478;1532;62.08062;2;2;3
9;4;ESCUELA REPUBLICA DE ISRAEL;5;15;15101;ARICA;0;51.54489;55.272627;98.0;100.0;98.333333;95.638661;1511;68.385117;2;2;3
10;8;ESCUELA REPUBLICA DE FRANCIA;5;15;15101;ARICA;0;32.011385;50.557815;88.12;100.0;74.166667;91.606253;1512;57.14931;2;2;3
11;6;ESC. GRAL. PEDRO LAGOS MARCHANT;5;15;15101;ARICA;0;29.7946;48.210503;87.8;100.0;60.333333;92.837061;1512;55.231763;2;2;3
12;4;ESCUELA GRAL JOSE MIGUEL CARRERA;5;15;15101;ARICA;0;47.209071;50.773659;97.17;100.0;90.083333;95.310358;1512;64.986626;2;2;3
13;2;ESCUELA MANUEL RODRIGUEZ ERDOYZA;5;15;15101;ARICA;0;44.227656;57.643916;96.52;100.0;93.833333;93.655628;1512;65.591634;2;1;2
14;0;ESCUELA ROMULO J. PENA MATURANA;5;15;15101;ARICA;0;35.743179;57.885705;86.25;100.0;76.0;93.0026;1512;60.868546;2;2;3
15;9;LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CREVANI;5;15;15101;ARICA;0;34.079959;55.235883;0.0;100.0;0.0;90.481257;1532;49.981509;2;2;3
16;7;ESCUELA REGIMIENTO RANCAGUA;5;15;15101;ARICA;0;33.948019;53.926245;81.48;100.0;45.666667;94.116504;1512;57.53788;2;2;3
17;5;ESCUELA SUBTTE. LUIS CRUZ MARTINEZ;5;15;15101;ARICA;0;38.164115;54.219986;89.685;100.0;76.75;94.479007;1512;61.3063;2;2;3
18;3;ESC. COMTE. JUAN JOSE SAN MARTIN;5;15;15101;ARICA;0;42.852294;64.596083;91.03;100.0;78.25;93.176966;1512;65.815485;1;2;1
19;1;ESC. HUMBERTO VALENZUELA GARCIA;5;15;15101;ARICA;0;35.402621;48.601179;93.45;100.0;87.666667;94.091627;1512;59.397791;2;2;3
20;5;ESCUELA TUCAPEL;5;15;15101;ARICA;0;34.781038;52.672456;85.95;100.0;73.583333;93.405226;1512;59.002588;2;2;3
22;1;ESCUELA GABRIELA MISTRAL;5;15;15101;ARICA;0;34.924026;57.036794;90.795;100.0;74.416667;93.688599;1512;60.672217;2;2;3
25;6;COLEGIO CENTENARIO DE ARICA;5;15;15101;ARICA;0;34.405221;59.944663;96.83;100.0;82.5;90.749901;1532;61.414216;2;2;3
26;4;ESCUELA REPUBLICA DE ARGENTINA;5;15;15101;ARICA;0;52.531356;54.194487;96.105;100.0;96.5;93.049049;1512;67.673149;1;2;1
27;2;ESCUELA ESMERALDA;5;15;15101;ARICA;0;48.775762;67.528342;97.33;100.0;67.0;93.549665;1512;68.725694;1;2;1
28;0;ESCUELA RICARDO SILVA ARRIAGADA;5;15;15101;ARICA;0;52.396894;56.813274;100.0;100.0;98.333333;95.071827;1511;69.127036;1;2;1
29;9;ESCUELA AMERICA;5;15;15101;ARICA;0;39.683588;61.710086;98.9;100.0;79.333333;92.37378;1512;64.18465;2;2;3
31;0;ESCUELA DARIO SALAS DIAZ;5;15;15101;ARICA;1;41.775466;54.4938;95.86;100.0;80.166667;94.243628;1522;63.208718;1;2;1
32;9;LICEO AGRICOLA JOSE ABELARDO NUNEZ M.;5;15;15101;ARICA;1;32.4883;55.418757;92.290909;100.0;86.916667;93.062488;1541;59.894958;1;2;1
33;7;ESCUELA CARLOS CONDELL DE LA HAZA;5;15;15101;ARICA;1;53.916186;56.927795;88.9;100.0;76.833333;95.011797;1522;67.967033;1;2;1
35;3;ESCUELA GRAL. MANUEL BAQUEDANO;5;15;15101;ARICA;1;40.202349;56.026981;78.322222;100.0;35.0;92.680696;1521;59.40151;2;2;3
36;1;ESCUELA IGNACIO CARRERA PINTO;5;15;15101;ARICA;0;29.766168;50.845;88.03;100.0;70.916667;94.736042;1512;56.919645;2;2;3
38;8;ESCUELA ESPAÑA;5;15;15101;ARICA;1;42.457247;53.656824;94.19;100.0;97.166667;94.961067;1522;64.13426;1;2;1
39;6;ESCUELA PAMPA ALGODONAL;5;15;15101;ARICA;1;28.517737;54.763975;72.211111;100.0;48.2;90.132459;1521;54.457283;2;2;3
41;8;ESCUELA VALLE DE CHACA;5;15;15101;ARICA;1;44.025739;54.725847;76.944444;100.0;45.6;90.912792;1522;60.510241;2;2;3
42;6;ESCUELA MOLINOS LLUTA;5;15;15101;ARICA;1;47.353478;54.725847;72.211111;100.0;45.0;93.540963;1521;62.005702;1;2;1
43;4;JARDIN INFANTIL CEPILLIN;2;15;15101;ARICA;0;39.315564;55.224014;77.163636;100.0;66.6;92.875155;1512;60.401835;2;2;3
