RBD;DV_RBD;NOM_RBD;COD_DEPE2;COD_REG_RBD;COD_COM_RBD;NOM_COM_RBD;RURAL_RBD;EFECTIVR;SUPERAR;INICIAR;MEJORAR;INTEGRAR;IGUALDR;CLUSTER;INDICER;SEL2022_25;SEL2022_35;SEL
1;9;LICEO POLITECNICO ARICA;5;15;15101;ARICA;0;23.46631;64.41088;90.28889;97.2973;65.68;85.73848;1532;56.2273;2;2;3
2;7;PARVULARIO LAS ESPIGUITAS;5;15;15101;ARICA;0;39.71651;62.36384;96.775;100.0;81.6;96.73551;1512;65.3253;2;1;2
3;5;ESC. PEDRO VICENTE GUTIERREZ TORRES;5;15;15101;ARICA;1;33.99764;67.05454;0.0;100.0;0.0;88.90676;1521;52.9139;2;2;3
4;3;LICEO OCTAVIO PALMA PEREZ;5;15;15101;ARICA;0;46.81308;62.19269;97.7875;100.0;97.0;94.18256;1532;68.1722;2;2;3
5;1;JOVINA NARANJO FERNANDEZ;5;15;15101;ARICA;0;48.70814;62.96479;94.375;90.54054;70.08;86.26687;1532;65.6082;2;2;3
7;8;L. POLI. ANTONIO VARAS DE LA BARRA;5;15;15101;ARICA;0;29.1757;63.89246;91.21111;98.64865;60.8;90.53735;1532;59.0888;2;2;3
8;6;COLEGIO INTEGRADO EDUARDO FREI MONTALVA;5;15;15101;ARICA;0;41.23814;66.98944;100.0;97.2973;79.2;79.29821;1532;63.3667;2;2;3
9;4;ESCUELA REPUBLICA DE ISRAEL;5;15;15101;ARICA;0;52.69725;64.53516;97.15;98.64865;86.0;89.57553;1511;69.3764;2;1;2
10;8;ESCUELA REPUBLICA DE FRANCIA;5;15;15101;ARICA;0;35.31517;65.9689;96.1375;100.0;68.4;86.47697;1511;61.7511;2;2;3
11;6;ESC. GRAL. PEDRO LAGOS MARCHANT;5;15;15101;ARICA;0;29.98378;53.25798;93.4125;100.0;76.8;89.15382;1512;57.0648;2;2;3
12;4;ESCUELA GRAL JOSE MIGUEL CARRERA;5;15;15101;ARICA;0;50.89899;61.58712;100.0;100.0;89.2;89.2657;1512;68.1755;1;2;1
13;2;ESCUELA MANUEL RODRIGUEZ ERDOYZA;5;15;15101;ARICA;0;43.66203;67.31798;99.3125;93.24324;80.8;81.50297;1512;64.7983;2;1;2
14;0;ESCUELA ROMULO J. PENA MATURANA;5;15;15101;ARICA;0;35.09465;67.28325;98.2;100.0;87.0;89.76305;1512;63.8142;2;2;3
15;9;LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CREVANI;5;15;15101;ARICA;0;34.97389;59.4008;100.0;98.64865;81.8;80.19255;1532;59.2779;2;2;3
16;7;ESCUELA REGIMIENTO RANCAGUA;5;15;15101;ARICA;0;35.63216;61.62929;97.2;98.64865;55.2;86.23146;1511;59.976;2;2;3
17;5;ESCUELA SUBTTE. LUIS CRUZ MARTINEZ;5;15;15101;ARICA;0;36.93973;59.23496;94.5375;98.64865;72.4;89.40267;1512;61.1873;2;2;3
18;3;ESC. COMTE. JUAN JOSE SAN MARTIN;5;15;15101;ARICA;0;41.11857;74.47254;95.0375;95.94595;79.0;86.49562;1512;66.6664;2;1;2
19;1;ESC. HUMBERTO VALENZUELA GARCIA;5;15;15101;ARICA;0;35.27365;59.33023;98.8875;100.0;95.4;88.25854;1512;61.7838;2;2;3
20;5;ESCUELA TUCAPEL;5;15;15101;ARICA;0;35.64546;60.944;94.6875;100.0;76.58;85.57113;1512;60.589;2;2;3
22;1;ESCUELA GABRIELA MISTRAL;5;15;15101;ARICA;0;35.37906;63.85406;98.8875;93.24324;73.2;87.80166;1512;61.7439;2;2;3
25;6;COLEGIO CENTENARIO DE ARICA;5;15;15101;ARICA;0;36.25214;70.92941;98.6375;97.2973;71.2;85.34317;1532;63.4732;2;2;3
26;4;ESCUELA REPUBLICA DE ARGENTINA;5;15;15101;ARICA;0;54.21441;63.69026;99.0625;100.0;83.8;89.19418;1512;69.6491;1;2;1
