comuna;cut_comuna;region;cut_region;fecha;delito;delito_n
Nacimiento;8306;Biobío;8;2023-03-01;Porte de arma cortante o punzante;1,000
Rancagua;6101;Libertador Gral. Bernardo O'Higgins;6;2024-01-01;Otros robos con fuerza en las cosas;20,000
Graneros;6106;Libertador Gral. Bernardo O'Higgins;6;2021-04-01;Delitos asociados a drogas;0,000
Chiguayante;8103;Biobío;8;2021-12-01;Robo violento de vehículo motorizado;0,000
Puerto Montt;10101;Los Lagos;10;2019-01-01;Otros robos con fuerza en las cosas;1,000
Palmilla;6306;Libertador Gral. Bernardo O'Higgins;6;2020-10-01;Amenazas con armas;2,000
Pichilemu;6201;Libertador Gral. Bernardo O'Higgins;6;2021-10-01;Robo violento de vehículo motorizado;0,000
Antuco;8302;Biobío;8;2021-10-01;Robo en lugar habitado;0,000
Ranquil;16206;Ñuble;16;2022-04-01;Robos con violencia o intimidación;0,000
Yungay;16109;Ñuble;16;2019-03-01;Tráfico de sustancias;0,000
Ancud;10202;Los Lagos;10;2022-11-01;Femicidio;0,000
Cerrillos;13102;Metropolitana de Santiago;13;2020-10-01;Violencia intrafamiliar a mujer;42,000
Lo Prado;13117;Metropolitana de Santiago;13;2020-10-01;Femicidio;0,000
Empedrado;7104;Maule;7;2019-02-01;Robo frustrado;0,000
San Pedro;13505;Metropolitana de Santiago;13;2019-01-01;Porte de arma cortante o punzante;0,000
San Vicente;6117;Libertador Gral. Bernardo O'Higgins;6;2024-01-01;Suicidio femicida;0,000
El Carmen;16104;Ñuble;16;2021-12-01;Violencia intrafamiliar a mujer;5,000
Valdivia;14101;Los Ríos;14;2018-09-01;Daños;104,000
Zapallar;5405;Valparaíso;5;2021-05-01;Amenazas con armas;0,000
Ancud;10202;Los Lagos;10;2023-11-01;Violencia intrafamiliar no clasificada;1,000
Cochrane;11301;Aysén del General Carlos Ibáñez del Campo;11;2021-07-01;Tortura o apremios ilegítimos con violación;0,000
Colina;13301;Metropolitana de Santiago;13;2019-11-01;Abusos sexuales;10,000
Purén;9208;La Araucanía;9;2022-04-01;Violación con homicidio;0,000
Ancud;10202;Los Lagos;10;2023-08-01;Abigeato;1,000
Puerto Montt;10101;Los Lagos;10;2022-03-01;Microtráfico de sustancias;10,000
Freire;9105;La Araucanía;9;2019-02-01;Robo frustrado;0,000
Longaví;7403;Maule;7;2020-11-01;Tortura o apremios ilegítimos con violación;0,000
San Pedro;13505;Metropolitana de Santiago;13;2022-04-01;Violencia intrafamiliar a adulto mayor;0,000
Angol;9201;La Araucanía;9;2018-09-01;Delitos asociados a drogas;5,000
Pedro Aguirre Cerda;13121;Metropolitana de Santiago;13;2024-03-01;Auxilio al suicidio;0,000
Galvarino;9106;La Araucanía;9;2019-03-01;Porte / posesión de armas o explosivos;0,000
San Juan de la Costa;10306;Los Lagos;10;2018-06-01;Amenazas o riña;5,000
San Joaquín;13129;Metropolitana de Santiago;13;2020-11-01;Robos con violencia o intimidación;27,000
Pucón;9115;La Araucanía;9;2018-11-01;Robo con homicidio;0,000
Requínoa;6116;Libertador Gral. Bernardo O'Higgins;6;2024-02-01;Disparo injustificado;0,000
Estación Central;13106;Metropolitana de Santiago;13;2019-01-01;Otros delitos sexuales;0,000
Llaillay;5703;Valparaíso;5;2023-04-01;Femicidio no íntimo;0,000
Pudahuel;13124;Metropolitana de Santiago;13;2021-11-01;Ofensas al pudor;5,000
Limache;5802;Valparaíso;5;2023-12-01;Violencia intrafamiliar a adulto mayor;0,000
San Juan de la Costa;10306;Los Lagos;10;2018-01-01;Robo con homicidio;0,000
Florida;8104;Biobío;8;2020-12-01;Porte / posesión de armas o explosivos;0,000
Puchuncaví;5105;Valparaíso;5;2019-10-01;Suicidio femicida;0,000
Monte Patria;4303;Coquimbo;4;2021-04-01;Otras infracciones a la ley de drogas;1,000
Ranquil;16206;Ñuble;16;2018-08-01;Hurtos;0,000
Licantén;7303;Maule;7;2022-06-01;Desórdenes públicos;0,000
Pucón;9115;La Araucanía;9;2020-12-01;Abusos sexuales;3,000
